"","TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity","AvgLikelihood","VaryingParam"
"226",0.23,0.12,0.03,0.23,0.1218,0.03,-536.0231,-543.5359,"Gamma"
"227",0.23,0.12,0.03,0.23,0.1255,0.03,-536.1719,-544.9391,"Gamma"
"228",0.23,0.12,0.03,0.23,0.1292,0.03,-536.3736,-546.8447,"Gamma"
"229",0.23,0.12,0.03,0.23,0.1329,0.03,-536.6285,-548.3764,"Gamma"
"230",0.23,0.12,0.03,0.23,0.1365,0.03,-536.9366,-552.2502,"Gamma"
"231",0.23,0.12,0.03,0.23,0.1402,0.03,-537.2981,-555.937,"Gamma"
"232",0.23,0.12,0.03,0.23,0.1439,0.03,-537.7132,-559.3412,"Gamma"
"233",0.23,0.12,0.03,0.23,0.1476,0.03,-538.1819,-566.2612,"Gamma"
"234",0.23,0.12,0.03,0.23,0.1512,0.03,-538.7042,-565.2601,"Gamma"
"235",0.23,0.12,0.03,0.23,0.1549,0.03,-539.2802,-572.1712,"Gamma"
"236",0.23,0.12,0.03,0.23,0.1586,0.03,-539.9097,-584.9506,"Gamma"
"237",0.23,0.12,0.03,0.23,0.1622,0.03,-540.5928,-593.5144,"Gamma"
"238",0.23,0.12,0.03,0.23,0.1659,0.03,-541.3292,-603.3806,"Gamma"
"239",0.23,0.12,0.03,0.23,0.1696,0.03,-542.1189,-606.38,"Gamma"
"240",0.23,0.12,0.03,0.23,0.1733,0.03,-542.9616,-611.5819,"Gamma"
"241",0.23,0.12,0.03,0.23,0.1769,0.03,-543.857,-619.7727,"Gamma"
"242",0.23,0.12,0.03,0.23,0.1806,0.03,-544.805,-625.6037,"Gamma"
"243",0.23,0.12,0.03,0.23,0.1843,0.03,-545.8051,-630.24,"Gamma"
"244",0.23,0.12,0.03,0.23,0.188,0.03,-546.857,-633.0674,"Gamma"
"245",0.23,0.12,0.03,0.23,0.1916,0.03,-547.9604,-636.3694,"Gamma"
"246",0.23,0.12,0.03,0.23,0.1953,0.03,-549.1147,-642.1867,"Gamma"
"247",0.23,0.12,0.03,0.23,0.199,0.03,-550.3195,-647.1043,"Gamma"
"248",0.23,0.12,0.03,0.23,0.2027,0.03,-551.5744,-652.9989,"Gamma"
"249",0.23,0.12,0.03,0.23,0.2063,0.03,-552.8787,-657.1578,"Gamma"
"250",0.23,0.12,0.03,0.23,0.21,0.03,-554.2319,-660.9669,"Gamma"
"251",0.23,0.12,0.03,0.0575,0.12,0.03,-677.14,-748.5982,"Beta"
"252",0.23,0.12,0.03,0.0645,0.12,0.03,-662.6514,-736.9135,"Beta"
"253",0.23,0.12,0.03,0.0716,0.12,0.03,-649.5672,-726.0393,"Beta"
"254",0.23,0.12,0.03,0.0786,0.12,0.03,-637.6731,-715.8624,"Beta"
"255",0.23,0.12,0.03,0.0857,0.12,0.03,-626.812,-706.2243,"Beta"
"256",0.23,0.12,0.03,0.0927,0.12,0.03,-616.865,-696.4174,"Beta"
"257",0.23,0.12,0.03,0.0997,0.12,0.03,-607.7402,-687.1168,"Beta"
"258",0.23,0.12,0.03,0.1068,0.12,0.03,-599.3645,-678.743,"Beta"
"259",0.23,0.12,0.03,0.1138,0.12,0.03,-591.6792,-669.8541,"Beta"
"260",0.23,0.12,0.03,0.1209,0.12,0.03,-584.6354,-662.171,"Beta"
"261",0.23,0.12,0.03,0.1279,0.12,0.03,-578.1918,-653.6718,"Beta"
"262",0.23,0.12,0.03,0.1349,0.12,0.03,-572.3132,-644.7418,"Beta"
"263",0.23,0.12,0.03,0.142,0.12,0.03,-566.9684,-635.4699,"Beta"
"264",0.23,0.12,0.03,0.149,0.12,0.03,-562.1295,-626.4305,"Beta"
"265",0.23,0.12,0.03,0.1561,0.12,0.03,-557.7713,-615.4976,"Beta"
"266",0.23,0.12,0.03,0.1631,0.12,0.03,-553.8708,-602.8522,"Beta"
"267",0.23,0.12,0.03,0.1702,0.12,0.03,-550.4063,-589.0126,"Beta"
"268",0.23,0.12,0.03,0.1772,0.12,0.03,-547.3577,-580.4045,"Beta"
"269",0.23,0.12,0.03,0.1842,0.12,0.03,-544.7058,-574.2742,"Beta"
"270",0.23,0.12,0.03,0.1913,0.12,0.03,-542.4326,-570.1914,"Beta"
"271",0.23,0.12,0.03,0.1983,0.12,0.03,-540.521,-568.0316,"Beta"
"272",0.23,0.12,0.03,0.2054,0.12,0.03,-538.9543,-567.0098,"Beta"
"273",0.23,0.12,0.03,0.2124,0.12,0.03,-537.7171,-566.5515,"Beta"
"274",0.23,0.12,0.03,0.2194,0.12,0.03,-536.7943,-566.7184,"Beta"
"275",0.23,0.12,0.03,0.2265,0.12,0.03,-536.1716,-567.1556,"Beta"
"276",0.23,0.12,0.03,0.2335,0.12,0.03,-535.8353,-567.904,"Beta"
"277",0.23,0.12,0.03,0.2406,0.12,0.03,-535.7724,-568.9811,"Beta"
"278",0.23,0.12,0.03,0.2476,0.12,0.03,-535.9705,-570.2635,"Beta"
"279",0.23,0.12,0.03,0.2546,0.12,0.03,-536.4175,-571.9717,"Beta"
"280",0.23,0.12,0.03,0.2617,0.12,0.03,-537.1023,-573.8046,"Beta"
"281",0.23,0.12,0.03,0.2687,0.12,0.03,-538.014,-575.8989,"Beta"
"282",0.23,0.12,0.03,0.2758,0.12,0.03,-539.1424,-578.377,"Beta"
"283",0.23,0.12,0.03,0.2828,0.12,0.03,-540.4777,-581.2601,"Beta"
"284",0.23,0.12,0.03,0.2898,0.12,0.03,-542.0108,-584.4967,"Beta"
"285",0.23,0.12,0.03,0.2969,0.12,0.03,-543.7327,-588.4884,"Beta"
"286",0.23,0.12,0.03,0.3039,0.12,0.03,-545.6351,-594.0552,"Beta"
"287",0.23,0.12,0.03,0.311,0.12,0.03,-547.7101,-600.8751,"Beta"
"288",0.23,0.12,0.03,0.318,0.12,0.03,-549.9502,-611.137,"Beta"
"289",0.23,0.12,0.03,0.3251,0.12,0.03,-552.3481,-628.8432,"Beta"
"290",0.23,0.12,0.03,0.3321,0.12,0.03,-554.8972,-662.7456,"Beta"
"291",0.23,0.12,0.03,0.3391,0.12,0.03,-557.5909,-720.1084,"Beta"
"292",0.23,0.12,0.03,0.3462,0.12,0.03,-560.4232,-822.5498,"Beta"
"293",0.23,0.12,0.03,0.3532,0.12,0.03,-563.3882,-1001.786,"Beta"
"294",0.23,0.12,0.03,0.3603,0.12,0.03,-566.4803,-1244.3674,"Beta"
"295",0.23,0.12,0.03,0.3673,0.12,0.03,-569.6945,-1641.1889,"Beta"
"296",0.23,0.12,0.03,0.3743,0.12,0.03,-573.0256,-2507.8457,"Beta"
"297",0.23,0.12,0.03,0.3814,0.12,0.03,-576.4689,-4310.5128,"Beta"
"298",0.23,0.12,0.03,0.3884,0.12,0.03,-580.0199,-4913.9279,"Beta"
"299",0.23,0.12,0.03,0.3955,0.12,0.03,-583.6743,-6261.9769,"Beta"
"300",0.23,0.12,0.03,0.4025,0.12,0.03,-587.428,-7999.4541,"Beta"
"301",0.23,0.12,0.05,0.23,0.12,0.0125,-540.5684,-555.6853,"Psi"
"302",0.23,0.12,0.05,0.23,0.12,0.014,-535.4179,-549.2143,"Psi"
"303",0.23,0.12,0.05,0.23,0.12,0.0156,-531.0569,-543.6854,"Psi"
"304",0.23,0.12,0.05,0.23,0.12,0.0171,-527.3229,-539.0918,"Psi"
"305",0.23,0.12,0.05,0.23,0.12,0.0186,-524.0975,-535.0343,"Psi"
"306",0.23,0.12,0.05,0.23,0.12,0.0202,-521.2919,-531.2918,"Psi"
"307",0.23,0.12,0.05,0.23,0.12,0.0217,-518.8379,-528.2083,"Psi"
"308",0.23,0.12,0.05,0.23,0.12,0.0232,-516.6819,-525.3063,"Psi"
"309",0.23,0.12,0.05,0.23,0.12,0.0247,-514.7816,-522.6039,"Psi"
"310",0.23,0.12,0.05,0.23,0.12,0.0263,-513.1025,-520.6938,"Psi"
"311",0.23,0.12,0.05,0.23,0.12,0.0278,-511.6165,-518.5256,"Psi"
"312",0.23,0.12,0.05,0.23,0.12,0.0293,-510.3003,-516.6095,"Psi"
"313",0.23,0.12,0.05,0.23,0.12,0.0309,-509.1344,-515.1241,"Psi"
"314",0.23,0.12,0.05,0.23,0.12,0.0324,-508.1024,-513.5517,"Psi"
"315",0.23,0.12,0.05,0.23,0.12,0.0339,-507.1903,-512.4711,"Psi"
"316",0.23,0.12,0.05,0.23,0.12,0.0355,-506.386,-511.1039,"Psi"
"317",0.23,0.12,0.05,0.23,0.12,0.037,-505.6793,-510.2412,"Psi"
"318",0.23,0.12,0.05,0.23,0.12,0.0385,-505.0611,-509.1385,"Psi"
"319",0.23,0.12,0.05,0.23,0.12,0.0401,-504.5236,-508.2247,"Psi"
"320",0.23,0.12,0.05,0.23,0.12,0.0416,-504.0599,-507.5947,"Psi"
"321",0.23,0.12,0.05,0.23,0.12,0.0431,-503.6639,-506.9203,"Psi"
"322",0.23,0.12,0.05,0.23,0.12,0.0446,-503.3302,-506.3314,"Psi"
"323",0.23,0.12,0.05,0.23,0.12,0.0462,-503.054,-505.7549,"Psi"
"324",0.23,0.12,0.05,0.23,0.12,0.0477,-502.831,-505.3086,"Psi"
"325",0.23,0.12,0.05,0.23,0.12,0.0492,-502.6574,-504.9957,"Psi"
"326",0.23,0.12,0.05,0.23,0.12,0.0508,-502.5298,-504.6603,"Psi"
"327",0.23,0.12,0.05,0.23,0.12,0.0523,-502.4449,-504.3675,"Psi"
"328",0.23,0.12,0.05,0.23,0.12,0.0538,-502.4001,-504.1141,"Psi"
"329",0.23,0.12,0.05,0.23,0.12,0.0554,-502.3926,-503.8673,"Psi"
"330",0.23,0.12,0.05,0.23,0.12,0.0569,-502.4202,-503.7167,"Psi"
"331",0.23,0.12,0.05,0.23,0.12,0.0584,-502.4808,-503.5696,"Psi"
"332",0.23,0.12,0.05,0.23,0.12,0.0599,-502.5724,-503.6229,"Psi"
"333",0.23,0.12,0.05,0.23,0.12,0.0615,-502.6931,-503.5537,"Psi"
"334",0.23,0.12,0.05,0.23,0.12,0.063,-502.8414,-503.5227,"Psi"
"335",0.23,0.12,0.05,0.23,0.12,0.0645,-503.0158,-503.4816,"Psi"
"336",0.23,0.12,0.05,0.23,0.12,0.0661,-503.2148,-503.6791,"Psi"
"337",0.23,0.12,0.05,0.23,0.12,0.0676,-503.4372,-503.8143,"Psi"
"338",0.23,0.12,0.05,0.23,0.12,0.0691,-503.6818,-503.7623,"Psi"
"339",0.23,0.12,0.05,0.23,0.12,0.0707,-503.9474,-504.0717,"Psi"
"340",0.23,0.12,0.05,0.23,0.12,0.0722,-504.233,-504.1421,"Psi"
"341",0.23,0.12,0.05,0.23,0.12,0.0737,-504.5377,-504.3187,"Psi"
"342",0.23,0.12,0.05,0.23,0.12,0.0753,-504.8605,-504.6274,"Psi"
"343",0.23,0.12,0.05,0.23,0.12,0.0768,-505.2007,-504.7602,"Psi"
"344",0.23,0.12,0.05,0.23,0.12,0.0783,-505.5575,-505.0998,"Psi"
"345",0.23,0.12,0.05,0.23,0.12,0.0798,-505.9301,-505.3559,"Psi"
"346",0.23,0.12,0.05,0.23,0.12,0.0814,-506.3178,-505.658,"Psi"
"347",0.23,0.12,0.05,0.23,0.12,0.0829,-506.72,-506.0882,"Psi"
"348",0.23,0.12,0.05,0.23,0.12,0.0844,-507.1362,-506.4515,"Psi"
"349",0.23,0.12,0.05,0.23,0.12,0.086,-507.5656,-506.7715,"Psi"
"350",0.23,0.12,0.05,0.23,0.12,0.0875,-508.0079,-507.1604,"Psi"
"351",0.23,0.16,0.03,0.23,0.04,0.03,-676.9329,-12037.4996,"Gamma"
"352",0.23,0.16,0.03,0.23,0.0449,0.03,-673.411,-8495.0121,"Gamma"
"353",0.23,0.16,0.03,0.23,0.0498,0.03,-669.9853,-6209.2729,"Gamma"
"354",0.23,0.16,0.03,0.23,0.0547,0.03,-666.6591,-4068.5992,"Gamma"
"355",0.23,0.16,0.03,0.23,0.0596,0.03,-663.4355,-2886.2171,"Gamma"
"356",0.23,0.16,0.03,0.23,0.0645,0.03,-660.3177,-2251.1062,"Gamma"
"357",0.23,0.16,0.03,0.23,0.0694,0.03,-657.3088,-1662.3543,"Gamma"
"358",0.23,0.16,0.03,0.23,0.0743,0.03,-654.4123,-1242.0809,"Gamma"
"359",0.23,0.16,0.03,0.23,0.0792,0.03,-651.6314,-1017.1092,"Gamma"
"360",0.23,0.16,0.03,0.23,0.0841,0.03,-648.9694,-879.0202,"Gamma"
"361",0.23,0.16,0.03,0.23,0.089,0.03,-646.4296,-792.1378,"Gamma"
"362",0.23,0.16,0.03,0.23,0.0939,0.03,-644.0155,-733.0136,"Gamma"
"363",0.23,0.16,0.03,0.23,0.0988,0.03,-641.7304,-692.2689,"Gamma"
"364",0.23,0.16,0.03,0.23,0.1037,0.03,-639.5775,-663.9215,"Gamma"
"365",0.23,0.16,0.03,0.23,0.1086,0.03,-637.5601,-641.3593,"Gamma"
"366",0.23,0.16,0.03,0.23,0.1135,0.03,-635.6815,-634.2519,"Gamma"
"367",0.23,0.16,0.03,0.23,0.1184,0.03,-633.9447,-630.9506,"Gamma"
"368",0.23,0.16,0.03,0.23,0.1233,0.03,-632.3527,-628.8262,"Gamma"
"369",0.23,0.16,0.03,0.23,0.1282,0.03,-630.9085,-627.247,"Gamma"
"370",0.23,0.16,0.03,0.23,0.1331,0.03,-629.6149,-625.7943,"Gamma"
"371",0.23,0.16,0.03,0.23,0.138,0.03,-628.4745,-624.6015,"Gamma"
"372",0.23,0.16,0.03,0.23,0.1429,0.03,-627.4897,-623.658,"Gamma"
"373",0.23,0.16,0.03,0.23,0.1478,0.03,-626.6628,-622.8586,"Gamma"
"374",0.23,0.16,0.03,0.23,0.1527,0.03,-625.9958,-622.1192,"Gamma"
"375",0.23,0.16,0.03,0.23,0.1576,0.03,-625.4905,-621.7575,"Gamma"
"376",0.23,0.16,0.03,0.23,0.1624,0.03,-625.1485,-621.3748,"Gamma"
"377",0.23,0.16,0.03,0.23,0.1673,0.03,-624.971,-621.3909,"Gamma"
"378",0.23,0.16,0.03,0.23,0.1722,0.03,-624.959,-621.2954,"Gamma"
"379",0.23,0.16,0.03,0.23,0.1771,0.03,-625.1132,-621.5644,"Gamma"
"380",0.23,0.16,0.03,0.23,0.182,0.03,-625.4341,-622.0811,"Gamma"
"381",0.23,0.16,0.03,0.23,0.1869,0.03,-625.9215,-622.5693,"Gamma"
"382",0.23,0.16,0.03,0.23,0.1918,0.03,-626.5754,-623.4606,"Gamma"
"383",0.23,0.16,0.03,0.23,0.1967,0.03,-627.3951,-624.6482,"Gamma"
"384",0.23,0.16,0.03,0.23,0.2016,0.03,-628.3796,-626.5083,"Gamma"
"385",0.23,0.16,0.03,0.23,0.2065,0.03,-629.5278,-628.3399,"Gamma"
"386",0.23,0.16,0.03,0.23,0.2114,0.03,-630.8382,-630.8118,"Gamma"
"387",0.23,0.16,0.03,0.23,0.2163,0.03,-632.3089,-633.9868,"Gamma"
"388",0.23,0.16,0.03,0.23,0.2212,0.03,-633.9378,-638.6682,"Gamma"
"389",0.23,0.16,0.03,0.23,0.2261,0.03,-635.7226,-641.5613,"Gamma"
"390",0.23,0.16,0.03,0.23,0.231,0.03,-637.6606,-654.2188,"Gamma"
"391",0.23,0.16,0.03,0.23,0.2359,0.03,-639.749,-675.3627,"Gamma"
"392",0.23,0.16,0.03,0.23,0.2408,0.03,-641.9848,-692.5246,"Gamma"
"393",0.23,0.16,0.03,0.23,0.2457,0.03,-644.3648,-712.839,"Gamma"
"394",0.23,0.16,0.03,0.23,0.2506,0.03,-646.8855,-723.1124,"Gamma"
"395",0.23,0.16,0.03,0.23,0.2555,0.03,-649.5435,-736.4913,"Gamma"
"396",0.23,0.16,0.03,0.23,0.2604,0.03,-652.3352,-748.0207,"Gamma"
"397",0.23,0.16,0.03,0.23,0.2653,0.03,-655.2568,-761.4818,"Gamma"
"398",0.23,0.16,0.03,0.23,0.2702,0.03,-658.3047,-772.3833,"Gamma"
"399",0.23,0.16,0.03,0.23,0.2751,0.03,-661.4749,-783.0415,"Gamma"
"400",0.23,0.16,0.03,0.23,0.28,0.03,-664.7637,-793.5982,"Gamma"
"401",0.27,0.12,0.03,0.0675,0.12,0.03,-645.174,-703.0528,"Beta"
"402",0.27,0.12,0.03,0.0758,0.12,0.03,-630.4927,-690.3889,"Beta"
"403",0.27,0.12,0.03,0.084,0.12,0.03,-617.2482,-678.5296,"Beta"
"404",0.27,0.12,0.03,0.0923,0.12,0.03,-605.2283,-668.193,"Beta"
"405",0.27,0.12,0.03,0.1006,0.12,0.03,-594.2777,-657.2009,"Beta"
"406",0.27,0.12,0.03,0.1088,0.12,0.03,-584.2791,-648.6809,"Beta"
"407",0.27,0.12,0.03,0.1171,0.12,0.03,-575.142,-641.2767,"Beta"
"408",0.27,0.12,0.03,0.1254,0.12,0.03,-566.795,-631.3947,"Beta"
"409",0.27,0.12,0.03,0.1336,0.12,0.03,-559.1801,-623.2569,"Beta"
"410",0.27,0.12,0.03,0.1419,0.12,0.03,-552.2495,-613.4932,"Beta"
"411",0.27,0.12,0.03,0.1502,0.12,0.03,-545.9627,-604.5955,"Beta"
"412",0.27,0.12,0.03,0.1584,0.12,0.03,-540.2845,-596.7367,"Beta"
"413",0.27,0.12,0.03,0.1667,0.12,0.03,-535.1839,-588.7009,"Beta"
"414",0.27,0.12,0.03,0.1749,0.12,0.03,-530.6332,-582.0544,"Beta"
"415",0.27,0.12,0.03,0.1832,0.12,0.03,-526.6066,-572.242,"Beta"
"416",0.27,0.12,0.03,0.1915,0.12,0.03,-523.0804,-564.0511,"Beta"
"417",0.27,0.12,0.03,0.1997,0.12,0.03,-520.0323,-556.2317,"Beta"
"418",0.27,0.12,0.03,0.208,0.12,0.03,-517.441,-547.8916,"Beta"
"419",0.27,0.12,0.03,0.2163,0.12,0.03,-515.2863,-540.2961,"Beta"
"420",0.27,0.12,0.03,0.2245,0.12,0.03,-513.5487,-534.7376,"Beta"
"421",0.27,0.12,0.03,0.2328,0.12,0.03,-512.2096,-529.0416,"Beta"
"422",0.27,0.12,0.03,0.2411,0.12,0.03,-511.2509,-525.5328,"Beta"
"423",0.27,0.12,0.03,0.2493,0.12,0.03,-510.6552,-523.0498,"Beta"
"424",0.27,0.12,0.03,0.2576,0.12,0.03,-510.4059,-520.8818,"Beta"
"425",0.27,0.12,0.03,0.2659,0.12,0.03,-510.4868,-519.7844,"Beta"
"426",0.27,0.12,0.03,0.2741,0.12,0.03,-510.8823,-519.6559,"Beta"
"427",0.27,0.12,0.03,0.2824,0.12,0.03,-511.5774,-519.8665,"Beta"
"428",0.27,0.12,0.03,0.2907,0.12,0.03,-512.5579,-520.6596,"Beta"
"429",0.27,0.12,0.03,0.2989,0.12,0.03,-513.8098,-521.4554,"Beta"
"430",0.27,0.12,0.03,0.3072,0.12,0.03,-515.3201,-522.5347,"Beta"
"431",0.27,0.12,0.03,0.3155,0.12,0.03,-517.0761,-524.1341,"Beta"
"432",0.27,0.12,0.03,0.3237,0.12,0.03,-519.0656,-525.7031,"Beta"
"433",0.27,0.12,0.03,0.332,0.12,0.03,-521.2772,-527.7655,"Beta"
"434",0.27,0.12,0.03,0.3403,0.12,0.03,-523.6998,-529.799,"Beta"
"435",0.27,0.12,0.03,0.3485,0.12,0.03,-526.323,-532.1546,"Beta"
"436",0.27,0.12,0.03,0.3568,0.12,0.03,-529.1367,-534.9387,"Beta"
"437",0.27,0.12,0.03,0.3651,0.12,0.03,-532.1316,-537.9492,"Beta"
"438",0.27,0.12,0.03,0.3733,0.12,0.03,-535.2984,-540.8566,"Beta"
"439",0.27,0.12,0.03,0.3816,0.12,0.03,-538.6288,-544.4759,"Beta"
"440",0.27,0.12,0.03,0.3898,0.12,0.03,-542.1145,-548.4848,"Beta"
"441",0.27,0.12,0.03,0.3981,0.12,0.03,-545.7479,-554.4899,"Beta"
"442",0.27,0.12,0.03,0.4064,0.12,0.03,-549.5215,-561.031,"Beta"
"443",0.27,0.12,0.03,0.4146,0.12,0.03,-553.4286,-572.0718,"Beta"
"444",0.27,0.12,0.03,0.4229,0.12,0.03,-557.4626,-592.9522,"Beta"
"445",0.27,0.12,0.03,0.4312,0.12,0.03,-561.6172,-623.9831,"Beta"
"446",0.27,0.12,0.03,0.4394,0.12,0.03,-565.8866,-659.6925,"Beta"
"447",0.27,0.12,0.03,0.4477,0.12,0.03,-570.2652,-721.3492,"Beta"
"448",0.27,0.12,0.03,0.456,0.12,0.03,-574.7477,-790.2077,"Beta"
"449",0.27,0.12,0.03,0.4642,0.12,0.03,-579.3293,-919.0019,"Beta"
"450",0.27,0.12,0.03,0.4725,0.12,0.03,-584.0051,-1054.3164,"Beta"
